"formula","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C30H32O11","unsaturated/lignin","unsaturated/lignin",0.3878,-0.3333,1.07,0.37,4,15,0.1333
"C27H36O13","unsaturated/lignin","unsaturated/lignin",0.1707,-0.3704,1.33,0.48,-3,10,-0.1111
"C24H40O13S1","aliphatic","aliphatic",-0.1515,-0.5,1.67,0.54,-9,5,-0.375
"C24H40O15","aliphatic","aliphatic",-0.1515,-0.4167,1.67,0.62,-10,5,-0.4167
"C28H40O12","unsaturated/lignin","unsaturated/lignin",0.1364,-0.5714,1.43,0.43,-3,9,-0.1071
"C25H44O12S1","aliphatic","aliphatic",-0.1667,-0.72,1.76,0.48,-9,4,-0.36
"C25H44O14","aliphatic","aliphatic",-0.1667,-0.64,1.76,0.56,-10,4,-0.4
"C29H44O11","aliphatic","aliphatic",0.1064,-0.7586,1.52,0.38,-3,8,-0.1034
"C26H48O13","aliphatic","aliphatic",-0.1795,-0.8462,1.85,0.5,-10,3,-0.3846
"C30H48O10","aliphatic","aliphatic",0.08,-0.9333,1.6,0.33,-3,7,-0.1
"C31H52O9","aliphatic","aliphatic",0.0566,-1.0968,1.68,0.29,-3,6,-0.0968
"C26H35O11N1S1","unsaturated/lignin","unsaturated/lignin",0.1351,-0.3077,1.35,0.42,-3,10,-0.1154
"C24H39O12N1","aliphatic","aliphatic+N",-0.0588,-0.5,1.62,0.5,-7,6,-0.2917
"C27H39O12N1","unsaturated/lignin","unsaturated/lignin",0.1,-0.4444,1.44,0.44,-4,9,-0.1481
"C26H47O10N1","aliphatic","aliphatic+N",-0.1,-0.9231,1.81,0.38,-7,4,-0.2692
"C27H22O14","unsaturated/lignin","unsaturated/lignin",0.5,0.2222,0.81,0.52,3,17,0.1111
"C20H26O19","unsaturated/lignin","unsaturated/lignin",-0.1429,0.6,1.3,0.95,-11,8,-0.55
"C24H26O16","unsaturated/lignin","unsaturated/lignin",0.25,0.25,1.08,0.67,-4,12,-0.1667
"C28H26O13","unsaturated/lignin","unsaturated/lignin",0.4419,0,0.93,0.46,3,16,0.1071
"C25H30O13S1","unsaturated/lignin","unsaturated/lignin",0.2,-0.08,1.2,0.52,-3,11,-0.12
"C25H30O15","unsaturated/lignin","unsaturated/lignin",0.2,0,1.2,0.6,-4,11,-0.16
"C29H30O12","unsaturated/lignin","unsaturated/lignin",0.3913,-0.2069,1.03,0.41,3,15,0.1034
"C26H34O12S1","unsaturated/lignin","unsaturated/lignin",0.1579,-0.3077,1.31,0.46,-3,10,-0.1154
"C22H34O17","aliphatic","aliphatic",-0.1852,0,1.55,0.77,-11,6,-0.5
"C26H34O14","unsaturated/lignin","unsaturated/lignin",0.1579,-0.2308,1.31,0.54,-4,10,-0.1538
"C30H34O11","unsaturated/lignin","unsaturated/lignin",0.3469,-0.4,1.13,0.37,3,14,0.1
"C23H38O16","aliphatic","aliphatic",-0.2,-0.2609,1.65,0.7,-11,5,-0.4783
"C27H38O13","unsaturated/lignin","unsaturated/lignin",0.122,-0.4444,1.41,0.48,-4,9,-0.1481
"C24H42O13S1","aliphatic","aliphatic",-0.2121,-0.5833,1.75,0.54,-10,4,-0.4167
"C31H38O10","unsaturated/lignin","unsaturated/lignin",0.3077,-0.5806,1.23,0.32,3,13,0.0968
"C24H42O15","aliphatic","aliphatic",-0.2121,-0.5,1.75,0.62,-11,4,-0.4583
"C28H42O12","aliphatic","aliphatic",0.0909,-0.6429,1.5,0.43,-4,8,-0.1429
"C29H46O11","aliphatic","aliphatic",0.0638,-0.8276,1.59,0.38,-4,7,-0.1379
"C30H50O8S1","aliphatic","aliphatic",0.04,-1.0667,1.67,0.27,-3,6,-0.1
"C30H50O10","aliphatic","aliphatic",0.04,-1,1.67,0.33,-4,6,-0.1333
"C31H54O9","aliphatic","aliphatic",0.0189,-1.1613,1.74,0.29,-4,5,-0.129
"C29H33O11N1","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2759,1.14,0.38,2,14,0.069
"C26H37O13N1","unsaturated/lignin","unsaturated/lignin",0.0811,-0.3077,1.42,0.5,-5,9,-0.1923
"C27H41O12N1","aliphatic","aliphatic+N",0.05,-0.5185,1.52,0.44,-5,8,-0.1852
"C26H20O15","aromatic","aromatic",0.5135,0.3846,0.77,0.58,2,17,0.0769
"C27H24O14","unsaturated/lignin","unsaturated/lignin",0.45,0.1481,0.89,0.52,2,16,0.0741
"C24H28O16","unsaturated/lignin","unsaturated/lignin",0.1875,0.1667,1.17,0.67,-5,11,-0.2083
"C28H28O13","unsaturated/lignin","unsaturated/lignin",0.3953,-0.0714,1,0.46,2,15,0.0714
"C25H32O13S1","unsaturated/lignin","unsaturated/lignin",0.1429,-0.16,1.28,0.52,-4,10,-0.16
"C25H32O15","unsaturated/lignin","unsaturated/lignin",0.1429,-0.08,1.28,0.6,-5,10,-0.2
"C29H32O12","unsaturated/lignin","unsaturated/lignin",0.3478,-0.2759,1.1,0.41,2,14,0.069
"C26H36O12S1","unsaturated/lignin","unsaturated/lignin",0.1053,-0.3846,1.38,0.46,-4,9,-0.1538
"C22H36O17","aliphatic","aliphatic",-0.2593,-0.0909,1.64,0.77,-12,5,-0.5455
"C26H36O14","unsaturated/lignin","unsaturated/lignin",0.1053,-0.3077,1.38,0.54,-5,9,-0.1923
"C23H40O14S1","aliphatic","aliphatic",-0.2667,-0.4348,1.74,0.61,-11,4,-0.4783
"C30H36O11","unsaturated/lignin","unsaturated/lignin",0.3061,-0.4667,1.2,0.37,2,13,0.0667
"C27H40O11S1","unsaturated/lignin","unsaturated/lignin",0.0732,-0.5926,1.48,0.41,-4,8,-0.1481
"C23H40O16","aliphatic","aliphatic",-0.2667,-0.3478,1.74,0.7,-12,4,-0.5217
"C27H40O13","unsaturated/lignin","unsaturated/lignin",0.0732,-0.5185,1.48,0.48,-5,8,-0.1852
"C24H44O13S1","aliphatic","aliphatic",-0.2727,-0.6667,1.83,0.54,-11,3,-0.4583
"C31H40O10","unsaturated/lignin","unsaturated/lignin",0.2692,-0.6452,1.29,0.32,2,12,0.0645
"C28H44O12","aliphatic","aliphatic",0.0455,-0.7143,1.57,0.43,-5,7,-0.1786
"C30H48O8","aliphatic","aliphatic",0.1154,-1.0667,1.6,0.27,-1,7,-0.0333
"C29H48O11","aliphatic","aliphatic",0.0213,-0.8966,1.66,0.38,-5,6,-0.1724
"C30H52O10","aliphatic","aliphatic",0,-1.0667,1.73,0.33,-5,5,-0.1667
"C27H27O13N1","unsaturated/lignin","unsaturated/lignin",0.3846,0.0741,1,0.48,1,15,0.037
"C28H31O12N1","unsaturated/lignin","unsaturated/lignin",0.3333,-0.1429,1.11,0.43,1,14,0.0357
"C26H22O15","unsaturated/lignin","unsaturated/lignin",0.4595,0.3077,0.85,0.58,1,16,0.0385
"C27H26O14","unsaturated/lignin","unsaturated/lignin",0.4,0.0741,0.96,0.52,1,15,0.037
"C24H30O14S1","unsaturated/lignin","unsaturated/lignin",0.125,0,1.25,0.58,-5,10,-0.2083
"C24H30O16","unsaturated/lignin","unsaturated/lignin",0.125,0.0833,1.25,0.67,-6,10,-0.25
"C28H30O13","unsaturated/lignin","unsaturated/lignin",0.3488,-0.1429,1.07,0.46,1,14,0.0357
"C25H34O13S1","unsaturated/lignin","unsaturated/lignin",0.0857,-0.24,1.36,0.52,-5,9,-0.2
"C25H34O15","unsaturated/lignin","unsaturated/lignin",0.0857,-0.16,1.36,0.6,-6,9,-0.24
"C22H38O15S1","aliphatic","aliphatic",-0.3333,-0.2727,1.73,0.68,-12,4,-0.5455
"C30H34O9","unsaturated/lignin","unsaturated/lignin",0.3725,-0.5333,1.13,0.3,5,14,0.1667
"C29H34O12","unsaturated/lignin","unsaturated/lignin",0.3043,-0.3448,1.17,0.41,1,13,0.0345
"C26H38O12S1","unsaturated/lignin","unsaturated/lignin",0.0526,-0.4615,1.46,0.46,-5,8,-0.1923
"C26H38O14","unsaturated/lignin","unsaturated/lignin",0.0526,-0.3846,1.46,0.54,-6,8,-0.2308
"C30H38O11","unsaturated/lignin","unsaturated/lignin",0.2653,-0.5333,1.27,0.37,1,12,0.0333
"C27H42O11S1","aliphatic","aliphatic",0.0244,-0.6667,1.56,0.41,-5,7,-0.1852
"C27H42O13","aliphatic","aliphatic",0.0244,-0.5926,1.56,0.48,-6,7,-0.2222
"C24H46O13S1","aliphatic","aliphatic",-0.3333,-0.75,1.92,0.54,-12,2,-0.5
"C31H42O10","unsaturated/lignin","unsaturated/lignin",0.2308,-0.7097,1.35,0.32,1,11,0.0323
"C28H46O10S1","aliphatic","aliphatic",0,-0.8571,1.64,0.36,-5,6,-0.1786
"C28H46O12","aliphatic","aliphatic",0,-0.7857,1.64,0.43,-6,6,-0.2143
"C29H50O11","aliphatic","aliphatic",-0.0213,-0.9655,1.72,0.38,-6,5,-0.2069
"C30H54O10","aliphatic","aliphatic",-0.04,-1.1333,1.8,0.33,-6,4,-0.2
"C27H29O13N1","unsaturated/lignin","unsaturated/lignin",0.3333,0,1.07,0.48,0,14,0
"C29H37O11N1","unsaturated/lignin","unsaturated/lignin",0.2444,-0.4138,1.28,0.38,0,12,0
"C26H24O15","unsaturated/lignin","unsaturated/lignin",0.4054,0.2308,0.92,0.58,0,15,0
"C27H28O14","unsaturated/lignin","unsaturated/lignin",0.35,0,1.04,0.52,0,14,0
"C24H32O14S1","unsaturated/lignin","unsaturated/lignin",0.0625,-0.0833,1.33,0.58,-6,9,-0.25
"C24H32O16","unsaturated/lignin","unsaturated/lignin",0.0625,0,1.33,0.67,-7,9,-0.2917
"C28H32O13","unsaturated/lignin","unsaturated/lignin",0.3023,-0.2143,1.14,0.46,0,13,0
"C25H36O13S1","unsaturated/lignin","unsaturated/lignin",0.0286,-0.32,1.44,0.52,-6,8,-0.24
"C25H36O15","unsaturated/lignin","unsaturated/lignin",0.0286,-0.24,1.44,0.6,-7,8,-0.28
"C22H40O15S1","aliphatic","aliphatic",-0.4074,-0.3636,1.82,0.68,-13,3,-0.5909
"C29H36O12","unsaturated/lignin","unsaturated/lignin",0.2609,-0.4138,1.24,0.41,0,12,0
"C26H40O12S1","aliphatic","aliphatic",0,-0.5385,1.54,0.46,-6,7,-0.2308
"C26H40O14","aliphatic","aliphatic",0,-0.4615,1.54,0.54,-7,7,-0.2692
"C30H40O11","unsaturated/lignin","unsaturated/lignin",0.2245,-0.6,1.33,0.37,0,11,0
"C27H44O11S1","aliphatic","aliphatic",-0.0244,-0.7407,1.63,0.41,-6,6,-0.2222
"C27H44O13","aliphatic","aliphatic",-0.0244,-0.6667,1.63,0.48,-7,6,-0.2593
"C31H44O10","unsaturated/lignin","unsaturated/lignin",0.1923,-0.7742,1.42,0.32,0,10,0
"C28H48O12","aliphatic","aliphatic",-0.0455,-0.8571,1.71,0.43,-7,5,-0.25
"C32H48O9","aliphatic","aliphatic",0.1636,-0.9375,1.5,0.28,0,9,0
"C29H52O11","aliphatic","aliphatic",-0.0638,-1.0345,1.79,0.38,-7,4,-0.2414
"C28H35O12N1","unsaturated/lignin","unsaturated/lignin",0.2381,-0.2857,1.25,0.43,-1,12,-0.0357
"C29H39O9N1S1","unsaturated/lignin","unsaturated/lignin",0.2,-0.5517,1.34,0.31,0,11,0
"C29H39O11N1","unsaturated/lignin","unsaturated/lignin",0.2,-0.4828,1.34,0.38,-1,11,-0.0345
"C25H22O16","unsaturated/lignin","unsaturated/lignin",0.4118,0.4,0.88,0.64,-1,15,-0.04
"C26H26O15","unsaturated/lignin","unsaturated/lignin",0.3514,0.1538,1,0.58,-1,14,-0.0385
"C30H26O12","unsaturated/lignin","unsaturated/lignin",0.5,-0.0667,0.87,0.4,6,18,0.2
"C32H30O6S1","unsaturated/lignin","unsaturated/lignin",0.5,-0.5,0.94,0.19,11,18,0.3438
"C27H30O14","unsaturated/lignin","unsaturated/lignin",0.3,-0.0741,1.11,0.52,-1,13,-0.037
"C24H34O14S1","unsaturated/lignin","unsaturated/lignin",0,-0.1667,1.42,0.58,-7,8,-0.2917
"C24H34O16","unsaturated/lignin","unsaturated/lignin",0,-0.0833,1.42,0.67,-8,8,-0.3333
"C28H34O13","unsaturated/lignin","unsaturated/lignin",0.2558,-0.2857,1.21,0.46,-1,12,-0.0357
"C25H38O13S1","aliphatic","aliphatic",-0.0286,-0.4,1.52,0.52,-7,7,-0.28
"C25H38O15","aliphatic","aliphatic",-0.0286,-0.32,1.52,0.6,-8,7,-0.32
"C23H42O14","aliphatic","aliphatic",-0.25,-0.6087,1.83,0.61,-11,3,-0.4783
"C29H38O12","unsaturated/lignin","unsaturated/lignin",0.2174,-0.4828,1.31,0.41,-1,11,-0.0345
"C26H42O12S1","aliphatic","aliphatic",-0.0526,-0.6154,1.62,0.46,-7,6,-0.2692
"C30H42O9S1","unsaturated/lignin","unsaturated/lignin",0.1837,-0.7333,1.4,0.3,0,10,0
"C26H42O14","aliphatic","aliphatic",-0.0526,-0.5385,1.62,0.54,-8,6,-0.3077
"C30H42O11","unsaturated/lignin","unsaturated/lignin",0.1837,-0.6667,1.4,0.37,-1,10,-0.0333
"C27H46O11S1","aliphatic","aliphatic",-0.0732,-0.8148,1.7,0.41,-7,5,-0.2593
"C27H46O13","aliphatic","aliphatic",-0.0732,-0.7407,1.7,0.48,-8,5,-0.2963
"C31H46O10","unsaturated/lignin","unsaturated/lignin",0.1538,-0.8387,1.48,0.32,-1,9,-0.0323
"C28H50O12","aliphatic","aliphatic",-0.0909,-0.9286,1.79,0.43,-8,4,-0.2857
"C32H50O9","aliphatic","aliphatic",0.1273,-1,1.56,0.28,-1,8,-0.0312
"C26H30O12N1P1","unsaturated/lignin","unsaturated/lignin",0.2778,-0.1154,1.15,0.46,-1,13,-0.0385
"C28H37O10N1S1","unsaturated/lignin","unsaturated/lignin",0.1905,-0.4286,1.32,0.36,-1,11,-0.0357
"C28H37O12N1","unsaturated/lignin","unsaturated/lignin",0.1905,-0.3571,1.32,0.43,-2,11,-0.0714
"C29H41O9N1S1","unsaturated/lignin","unsaturated/lignin",0.1556,-0.6207,1.41,0.31,-1,10,-0.0345
"C29H41O11N1","unsaturated/lignin","unsaturated/lignin",0.1556,-0.5517,1.41,0.38,-2,10,-0.069
"C20H16O18","unsaturated/lignin","unsaturated/lignin",0.3636,1,0.8,0.9,-5,13,-0.25
"C20H20O20","unsaturated/lignin","unsaturated/lignin",0.1,1,1,1,-9,11,-0.45
"C25H24O16","unsaturated/lignin","unsaturated/lignin",0.3529,0.32,0.96,0.64,-2,14,-0.08
"C29H24O13","aromatic","aromatic",0.5111,0.069,0.83,0.45,5,18,0.1724
"C26H28O15","unsaturated/lignin","unsaturated/lignin",0.2973,0.0769,1.08,0.58,-2,13,-0.0769
"C30H28O12","unsaturated/lignin","unsaturated/lignin",0.4583,-0.1333,0.93,0.4,5,17,0.1667
"C27H32O12S1","unsaturated/lignin","unsaturated/lignin",0.25,-0.2222,1.19,0.44,-1,12,-0.037
"C21H36O16","aliphatic","aliphatic",-0.3077,-0.1905,1.71,0.76,-12,4,-0.5714
"C27H32O14","unsaturated/lignin","unsaturated/lignin",0.25,-0.1481,1.19,0.52,-2,12,-0.0741
"C29H36O8S1","unsaturated/lignin","unsaturated/lignin",0.2917,-0.6207,1.24,0.28,3,12,0.1034
"C31H32O11","unsaturated/lignin","unsaturated/lignin",0.4118,-0.3226,1.03,0.35,5,16,0.1613
"C24H36O16","aliphatic","aliphatic",-0.0625,-0.1667,1.5,0.67,-9,7,-0.375
"C28H36O13","unsaturated/lignin","unsaturated/lignin",0.2093,-0.3571,1.29,0.46,-2,11,-0.0714
"C25H40O13S1","aliphatic","aliphatic",-0.0857,-0.48,1.6,0.52,-8,6,-0.32
"C25H40O15","aliphatic","aliphatic",-0.0857,-0.4,1.6,0.6,-9,6,-0.36
"C29H40O12","unsaturated/lignin","unsaturated/lignin",0.1739,-0.5517,1.38,0.41,-2,10,-0.069
"C26H44O12S1","aliphatic","aliphatic",-0.1053,-0.6923,1.69,0.46,-8,5,-0.3077
"C26H44O14","aliphatic","aliphatic",-0.1053,-0.6154,1.69,0.54,-9,5,-0.3462
"C30H44O11","unsaturated/lignin","unsaturated/lignin",0.1429,-0.7333,1.47,0.37,-2,9,-0.0667
"C27H48O13","aliphatic","aliphatic",-0.122,-0.8148,1.78,0.48,-9,4,-0.3333
"C31H48O10","aliphatic","aliphatic",0.1154,-0.9032,1.55,0.32,-2,8,-0.0645
"C32H52O9","aliphatic","aliphatic",0.0909,-1.0625,1.62,0.28,-2,7,-0.0625
"C23H31O14N1","unsaturated/lignin","unsaturated/lignin",0.0667,0,1.35,0.61,-6,9,-0.2609
"C28H35O10N1","unsaturated/lignin","unsaturated/lignin",0.2727,-0.4286,1.25,0.36,1,12,0.0357
"C28H39O10N1S1","unsaturated/lignin","unsaturated/lignin",0.1429,-0.5,1.39,0.36,-2,10,-0.0714
"C28H39O12N1","unsaturated/lignin","unsaturated/lignin",0.1429,-0.4286,1.39,0.43,-3,10,-0.1071
"C29H43O9N1S1","unsaturated/lignin","unsaturated/lignin",0.1111,-0.6897,1.48,0.31,-2,9,-0.069
"C29H43O11N1","unsaturated/lignin","unsaturated/lignin",0.1111,-0.6207,1.48,0.38,-3,9,-0.1034
"C28H22O14","aromatic","aromatic",0.5238,0.2143,0.79,0.5,4,18,0.1429
"C25H26O16","unsaturated/lignin","unsaturated/lignin",0.2941,0.24,1.04,0.64,-3,13,-0.12
"C29H26O13","unsaturated/lignin","unsaturated/lignin",0.4667,0,0.9,0.45,4,17,0.1379
"C26H30O13S1","unsaturated/lignin","unsaturated/lignin",0.2432,-0.0769,1.15,0.5,-2,12,-0.0769
"C26H30O15","unsaturated/lignin","unsaturated/lignin",0.2432,0,1.15,0.58,-3,12,-0.1154
"C30H30O12","unsaturated/lignin","unsaturated/lignin",0.4167,-0.2,1,0.4,4,16,0.1333
"C27H34O14","unsaturated/lignin","unsaturated/lignin",0.2,-0.2222,1.26,0.52,-3,11,-0.1111
"C24H38O14S1","aliphatic","aliphatic",-0.125,-0.3333,1.58,0.58,-9,6,-0.375
"C31H34O11","unsaturated/lignin","unsaturated/lignin",0.3725,-0.3871,1.1,0.35,4,15,0.129
"C24H38O16","aliphatic","aliphatic",-0.125,-0.25,1.58,0.67,-10,6,-0.4167
"C28H38O13","unsaturated/lignin","unsaturated/lignin",0.1628,-0.4286,1.36,0.46,-3,10,-0.1071
"C25H42O13S1","aliphatic","aliphatic",-0.1429,-0.56,1.68,0.52,-9,5,-0.36
"C29H42O10S1","unsaturated/lignin","unsaturated/lignin",0.1304,-0.6897,1.45,0.34,-2,9,-0.069
"C25H42O15","aliphatic","aliphatic",-0.1429,-0.48,1.68,0.6,-10,5,-0.4
"C29H42O12","unsaturated/lignin","unsaturated/lignin",0.1304,-0.6207,1.45,0.41,-3,9,-0.1034
"C26H46O12S1","aliphatic","aliphatic",-0.1579,-0.7692,1.77,0.46,-9,4,-0.3462
"C26H46O14","aliphatic","aliphatic",-0.1579,-0.6923,1.77,0.54,-10,4,-0.3846
"C30H46O11","aliphatic","aliphatic",0.102,-0.8,1.53,0.37,-3,8,-0.1
"C27H50O13","aliphatic","aliphatic",-0.1707,-0.8889,1.85,0.48,-10,3,-0.3704
"C31H50O10","aliphatic","aliphatic",0.0769,-0.9677,1.61,0.32,-3,7,-0.0968
"C29H54O9","aliphatic","aliphatic",-0.0612,-1.2414,1.86,0.31,-6,3,-0.2069
"C26H33O14N1","unsaturated/lignin","unsaturated/lignin",0.1667,-0.0769,1.27,0.54,-4,11,-0.1538
"C27H37O11N1S1","unsaturated/lignin","unsaturated/lignin",0.1282,-0.3704,1.37,0.41,-3,10,-0.1111
"C27H37O13N1","unsaturated/lignin","unsaturated/lignin",0.1282,-0.2963,1.37,0.48,-4,10,-0.1481
"C28H41O10N1S1","unsaturated/lignin","unsaturated/lignin",0.0952,-0.5714,1.46,0.36,-3,9,-0.1071
"C29H41O9N1","unsaturated/lignin","unsaturated/lignin",0.1915,-0.6897,1.41,0.31,0,10,0
"C28H41O12N1","unsaturated/lignin","unsaturated/lignin",0.0952,-0.5,1.46,0.43,-4,9,-0.1429
"C26H49O13N1","aliphatic","aliphatic+N",-0.2432,-0.7692,1.88,0.5,-11,3,-0.4231
"C27H20O15","aromatic","aromatic",0.5385,0.3704,0.74,0.56,3,18,0.1111
"C24H25O15P1","unsaturated/lignin","unsaturated/lignin",0.2903,0.2083,1.04,0.62,-3,13,-0.125
"C28H24O14","unsaturated/lignin","unsaturated/lignin",0.4762,0.1429,0.86,0.5,3,17,0.1071
"C25H28O14S1","unsaturated/lignin","unsaturated/lignin",0.2353,0.08,1.12,0.56,-3,12,-0.12
"C21H28O19","unsaturated/lignin","unsaturated/lignin",-0.1304,0.4762,1.33,0.9,-11,8,-0.5238
"C25H28O16","unsaturated/lignin","unsaturated/lignin",0.2353,0.16,1.12,0.64,-4,12,-0.16
"C29H28O13","unsaturated/lignin","unsaturated/lignin",0.4222,-0.069,0.97,0.45,3,16,0.1034
"C26H32O15","unsaturated/lignin","unsaturated/lignin",0.1892,-0.0769,1.23,0.58,-4,11,-0.1538
"C23H36O15S1","aliphatic","aliphatic",-0.1724,-0.1739,1.57,0.65,-10,6,-0.4348
"C30H32O12","unsaturated/lignin","unsaturated/lignin",0.375,-0.2667,1.07,0.4,3,15,0.1
"C27H36O12S1","unsaturated/lignin","unsaturated/lignin",0.15,-0.3704,1.33,0.44,-3,10,-0.1111
"C23H36O17","aliphatic","aliphatic",-0.1724,-0.087,1.57,0.74,-11,6,-0.4783
"C27H36O14","unsaturated/lignin","unsaturated/lignin",0.15,-0.2963,1.33,0.52,-4,10,-0.1481
"C31H36O11","unsaturated/lignin","unsaturated/lignin",0.3333,-0.4516,1.16,0.35,3,14,0.0968
"C28H40O11S1","unsaturated/lignin","unsaturated/lignin",0.1163,-0.5714,1.43,0.39,-3,9,-0.1071
"C24H40O16","aliphatic","aliphatic",-0.1875,-0.3333,1.67,0.67,-11,5,-0.4583
"C28H40O13","unsaturated/lignin","unsaturated/lignin",0.1163,-0.5,1.43,0.46,-4,9,-0.1429
"C25H44O13S1","aliphatic","aliphatic",-0.2,-0.64,1.76,0.52,-10,4,-0.4
"C32H40O10","unsaturated/lignin","unsaturated/lignin",0.2963,-0.625,1.25,0.31,3,13,0.0938
"C25H44O15","aliphatic","aliphatic",-0.2,-0.56,1.76,0.6,-11,4,-0.44
"C29H44O12","aliphatic","aliphatic",0.087,-0.6897,1.52,0.41,-4,8,-0.1379
"C30H48O11","aliphatic","aliphatic",0.0612,-0.8667,1.6,0.37,-4,7,-0.1333
"C31H52O8S1","aliphatic","aliphatic",0.0385,-1.0968,1.68,0.26,-3,6,-0.0968
"C35H52O5S1","unsaturated/lignin","unsaturated/lignin",0.2063,-1.1429,1.49,0.14,4,10,0.1143
"C31H52O10","aliphatic","aliphatic",0.0385,-1.0323,1.68,0.32,-4,6,-0.129
"C30H35O11N1","unsaturated/lignin","unsaturated/lignin",0.3191,-0.3333,1.17,0.37,2,14,0.0667
"C29H43O9N1","unsaturated/lignin","unsaturated/lignin",0.1489,-0.7586,1.48,0.31,-1,9,-0.0345
"C27H22O15","unsaturated/lignin","unsaturated/lignin",0.4872,0.2963,0.81,0.56,2,17,0.0741
"C28H26O14","unsaturated/lignin","unsaturated/lignin",0.4286,0.0714,0.93,0.5,2,16,0.0714
"C25H30O16","unsaturated/lignin","unsaturated/lignin",0.1765,0.08,1.2,0.64,-5,11,-0.2
"C29H30O13","unsaturated/lignin","unsaturated/lignin",0.3778,-0.1379,1.03,0.45,2,15,0.069
"C26H34O13S1","unsaturated/lignin","unsaturated/lignin",0.1351,-0.2308,1.31,0.5,-4,10,-0.1538
"C26H34O15","unsaturated/lignin","unsaturated/lignin",0.1351,-0.1538,1.31,0.58,-5,10,-0.1923
"C23H38O15S1","aliphatic","aliphatic",-0.2414,-0.2609,1.65,0.65,-11,5,-0.4783
"C30H34O12","unsaturated/lignin","unsaturated/lignin",0.3333,-0.3333,1.13,0.4,2,14,0.0667
"C27H38O12S1","unsaturated/lignin","unsaturated/lignin",0.1,-0.4444,1.41,0.44,-4,9,-0.1481
"C27H38O14","unsaturated/lignin","unsaturated/lignin",0.1,-0.3704,1.41,0.52,-5,9,-0.1852
"C24H42O14S1","aliphatic","aliphatic",-0.25,-0.5,1.75,0.58,-11,4,-0.4583
"C31H38O11","unsaturated/lignin","unsaturated/lignin",0.2941,-0.5161,1.23,0.35,2,13,0.0645
"C28H42O11S1","aliphatic","aliphatic",0.0698,-0.6429,1.5,0.39,-4,8,-0.1429
"C24H42O16","aliphatic","aliphatic",-0.25,-0.4167,1.75,0.67,-12,4,-0.5
"C28H42O13","aliphatic","aliphatic",0.0698,-0.5714,1.5,0.46,-5,8,-0.1786
"C25H46O13S1","aliphatic","aliphatic",-0.2571,-0.72,1.84,0.52,-11,3,-0.44
"C32H42O10","unsaturated/lignin","unsaturated/lignin",0.2593,-0.6875,1.31,0.31,2,12,0.0625
"C29H46O12","aliphatic","aliphatic",0.0435,-0.7586,1.59,0.41,-5,7,-0.1724
"C30H50O9S1","aliphatic","aliphatic",0.0204,-1,1.67,0.3,-4,6,-0.1333
"C30H50O11","aliphatic","aliphatic",0.0204,-0.9333,1.67,0.37,-5,6,-0.1667
"C31H54O10","aliphatic","aliphatic",0,-1.0968,1.74,0.32,-5,5,-0.1613
"C28H29O13N1","unsaturated/lignin","unsaturated/lignin",0.3659,0,1.04,0.46,1,15,0.0357
"C29H33O12N1","unsaturated/lignin","unsaturated/lignin",0.3182,-0.2069,1.14,0.41,1,14,0.0345
"C27H41O13N1","aliphatic","aliphatic+N",0.0256,-0.4444,1.52,0.48,-6,8,-0.2222
"C27H24O15","unsaturated/lignin","unsaturated/lignin",0.4359,0.2222,0.89,0.56,1,16,0.037
"C28H28O14","unsaturated/lignin","unsaturated/lignin",0.381,0,1,0.5,1,15,0.0357
"C25H32O14S1","unsaturated/lignin","unsaturated/lignin",0.1176,-0.08,1.28,0.56,-5,10,-0.2
"C25H32O16","unsaturated/lignin","unsaturated/lignin",0.1176,0,1.28,0.64,-6,10,-0.24
"C29H32O13","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2069,1.1,0.45,1,14,0.0345
"C26H36O13S1","unsaturated/lignin","unsaturated/lignin",0.0811,-0.3077,1.38,0.5,-5,9,-0.1923
"C26H36O15","unsaturated/lignin","unsaturated/lignin",0.0811,-0.2308,1.38,0.58,-6,9,-0.2308
"C23H40O15S1","aliphatic","aliphatic",-0.3103,-0.3478,1.74,0.65,-12,4,-0.5217
"C30H36O12","unsaturated/lignin","unsaturated/lignin",0.2917,-0.4,1.2,0.4,1,13,0.0333
"C27H40O12S1","unsaturated/lignin","unsaturated/lignin",0.05,-0.5185,1.48,0.44,-5,8,-0.1852
"C27H40O14","unsaturated/lignin","unsaturated/lignin",0.05,-0.4444,1.48,0.52,-6,8,-0.2222
"C31H40O11","unsaturated/lignin","unsaturated/lignin",0.2549,-0.5806,1.29,0.35,1,12,0.0323
"C28H44O11S1","aliphatic","aliphatic",0.0233,-0.7143,1.57,0.39,-5,7,-0.1786
"C28H44O13","aliphatic","aliphatic",0.0233,-0.6429,1.57,0.46,-6,7,-0.2143
"C32H44O10","unsaturated/lignin","unsaturated/lignin",0.2222,-0.75,1.38,0.31,1,11,0.0312
"C29H48O12","aliphatic","aliphatic",0,-0.8276,1.66,0.41,-6,6,-0.2069
"C33H48O9","unsaturated/lignin","unsaturated/lignin",0.193,-0.9091,1.45,0.27,1,10,0.0303
"C30H52O9S1","aliphatic","aliphatic",-0.0204,-1.0667,1.73,0.3,-5,5,-0.1667
"C30H52O11","aliphatic","aliphatic",-0.0204,-1,1.73,0.37,-6,5,-0.2
